Date,Track,RaceNumber,Horse,Jockey,Trainer,SP,Bet,Profit
2023-01-01,SUNSHINE COAST,2,ATLANTIC EAGLE,KYLE WILSON-TAYLOR,PAUL DUNCAN,2.9,59.33319470204367,112.0
2023-01-01,INVERELL,6,PATENTED,EMILY LANG,PAT WEBSTER,3.9,53.172439014132124,-54.0
2023-01-02,ESPERANCE,7,KORANIS,ANGELA JOHNSTON,CAREY MARTIN,5.0,51.38476701319258,205.0
2023-01-14,ROSEHILL,7,MARIAMIA,DYLAN GIBBONS,JOSEPH PRIDE,8.5,57.2931182837927,429.0
2023-01-15,ORANGE,4,IKNOWASTAR,ASHLEY MORGAN,BJORN BAKER,10.0,58.408078581905585,-59.0
2023-01-21,KEMBLA GRANGE,1,CHILLI JAM,MITCHELL BELL,JOSEPH PRIDE,18.0,58.39105559079608,-59.0
2023-01-21,RANDWICK,4,IRISH LEGEND,BROCK RYAN,LES BRIDGE,7.0,65.11221122891413,390.0
2023-01-26,HANGING ROCK,5,SANDBLAST,WILL GORDON,K T BOURKE,15.0,50.635429034254344,708.0
2023-01-28,TAMWORTH,4,GAME TO LOVE,BEN LOOKER,CODY MORGAN,1.95,53.26474632613871,50.0
2023-01-28,TAMWORTH,4,GAME TO LOVE,BEN LOOKER,CODY MORGAN,1.95,53.50296283581921,50.0
2023-01-30,DUBBO,5,LARYNX,CLAYTON GALLAGHER,BRETT THOMPSON,3.3,88.3509266115336,203.0
2023-02-01,CANTERBURY,2,EAU DE VIE,JOSHUA PARR,RICHARD & WILL FREEDMAN,5.5,50.493306848184595,-51.0
2023-02-01,HAPPY VALLEY,6,HAVA NAGEELA,Z PURTON,F C LOR,10.0,65.06513166343866,-66.0
2023-02-02,PAKENHAM,5,GRINGOTTS,JOHN ALLEN,CIARON MAHER & DAVID EUSTACE,2.8,54.80092094981267,-55.0
2023-02-02,PAKENHAM,8,VITTORIOSA,JORDAN CHILDS,GAI WATERHOUSE & ADRIAN BOTT,6.5,51.08466131212237,-52.0
2023-02-04,GOLD COAST,5,HABEEBATI,GEORGINA CARTWRIGH,D L FREEDMAN,1.45,50.45723860279531,22.0
2023-02-04,KYNETON,7,CATSKILL MOUNTAIN,DEAN HOLLAND,ANDREW BOBBIN,2.0,55.13408442336928,55.0
2023-02-06,MUSWELLBROOK,1,SUMATI,BROOKE STOWER,STEPHEN JONES,2.4,60.75630253224013,-61.0
